class,path,height,width,channels,brightness,edge_strength,aspect_ratio,variance,edge_density,color_variance,is_blurry,is_too_dark,is_too_bright,is_low_contrast
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184853_jpg.rf.4d28bfe14f7d136ec0a22d1353bc5577.jpg,416,416,3,160.15069110576923,0.02749737727234314,1.0,1903.976448533098,0.04917483357988166,1980.2918856838423,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184856_jpg.rf.7351137a76a02329afab8dfd00170db7.jpg,416,416,3,165.0576171875,0.02781780969358166,1.0,1783.9093270330034,0.047337278106508875,1853.213337432591,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184907_jpg.rf.81dcd0ecfb85b38fc14badc72153dda2.jpg,416,416,3,129.2169066660503,0.028779073822482244,1.0,2304.2574251945985,0.05616101146449704,2337.241592561382,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184911_jpg.rf.23988f626146a4a869be74bfd2826d39.jpg,416,416,3,132.45355838572485,0.03130673337687735,1.0,1868.0594301772032,0.07035872781065089,1911.785549555477,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184926_jpg.rf.baf7b57e91fa66bf9b1d2b763ca800c9.jpg,416,416,3,143.10533006656806,0.05090093729451016,1.0,2367.782475288616,0.14885355029585798,2453.349246976748,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184930_jpg.rf.31172fb402f940be8664450b5b0f3fb1.jpg,416,416,3,143.61128189718934,0.04523972209597269,1.0,2421.7395925782635,0.10687291974852071,2486.2076923059235,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184933_jpg.rf.e6d24cfef41637e1f257bd6c3c151850.jpg,416,416,3,150.3563008505917,0.046404808297719785,1.0,2260.381578734933,0.11715282914201183,2354.7340259506514,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_184940_jpg.rf.e35c74ac9c0ec93d17472d44378635c3.jpg,416,416,3,145.66171643860946,0.03893225607747226,1.0,3852.089948939933,0.1090340698964497,3906.3049106396543,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185118_jpg.rf.d2c5071e5c715d804d1d772eb8e35973.jpg,416,416,3,176.02383043639054,0.023066184224577086,1.0,2533.9843271731706,0.03674533099112426,2673.619014737996,False,False,True,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185215_jpg.rf.b712e85bda0e86c04075fe7fb78e5a61.jpg,416,416,3,157.48943694526628,0.024901927534630757,1.0,2198.367341731786,0.05494753143491124,2336.969897654117,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185248_jpg.rf.837112b398bafdb9b7c6a4d34cc71ad0.jpg,416,416,3,125.75120770155326,0.02672266128132618,1.0,2358.077635260207,0.05078702847633136,2611.1158236920523,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185309_jpg.rf.799e4c3ef3e893d4d2fbc3b69e48990f.jpg,416,416,3,88.65043685281066,0.01995504416771815,1.0,3558.952902684529,0.03038900702662722,4372.265788070898,True,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185329_jpg.rf.ede1fc2596137ecd8847e17ad8ec52e6.jpg,416,416,3,95.28304132766272,0.023206648838786703,1.0,3431.452767137162,0.035491401627218935,4257.741981177291,False,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185334_jpg.rf.67a195afe606dd96aa975775109ab4f7.jpg,416,416,3,91.87327223557692,0.022991518571614678,1.0,3811.9885339624084,0.03874468380177515,4622.074489218305,False,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185354_jpg.rf.bf7cc648cb98f4457e0c3b3366ad51c2.jpg,416,416,3,128.3544517381657,0.024553920654140835,1.0,2373.21654221975,0.0434714774408284,2347.5441576481107,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185403_jpg.rf.070d5796818a8046e5e5aaf5e9175bd3.jpg,416,416,3,151.39524200258876,0.02467978313480571,1.0,2041.9585731917123,0.048666327662721894,2049.315612304917,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185408_jpg.rf.881704e07bdcecc84cf053c3f28777ef.jpg,416,416,3,147.34841323039942,0.026249122963239294,1.0,2470.7988594690332,0.051295534393491125,2459.6289574540374,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185416_jpg.rf.1fbcb6b539156b0362df8c98db79f104.jpg,416,416,3,115.8405256102071,0.021219894600002506,1.0,2552.716454938231,0.03448594674556213,2596.4817171688005,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185429_jpg.rf.8cb42ff6b7770b1a06497bd9616ac5e8.jpg,416,416,3,81.4133979752219,0.018837378143708252,1.0,3755.418720503506,0.031631379437869825,3724.717319360899,True,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185434_jpg.rf.4e649097077c67c1c36ab90e2668da63.jpg,416,416,3,76.63113674186391,0.018927513755362176,1.0,3463.8431142680993,0.034110345784023666,3390.210107988849,True,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185440_jpg.rf.d5ff93cfc18fb39c04d1a408c3f44d00.jpg,416,416,3,73.6060581545858,0.01746476758261024,1.0,4193.647648210005,0.02989783653846154,4067.0920524751673,True,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185445_jpg.rf.be0bd48ca76e2d937a82bf2042c24411.jpg,416,416,3,79.98249121671597,0.018984755169740887,1.0,3976.546660898128,0.035578078772189346,3916.8622118733615,True,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185659_jpg.rf.970fc2336675e548284ecf313946ee98.jpg,416,416,3,146.00429918639054,0.018470106480990255,1.0,3164.406844035487,0.04003328402366864,3213.6678398299114,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185703_jpg.rf.de9153e24340c50019a07b7a7468f1cd.jpg,416,416,3,136.8201622596154,0.017780849508035546,1.0,3368.3717356800325,0.03275818232248521,3466.2587181467884,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185812_jpg.rf.6d467695bbd45ee5fe39d2238d2d8435.jpg,416,416,3,90.42168431028107,0.03441440209281529,1.0,3620.2526846076253,0.06830159023668639,3559.891023262091,False,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185827_jpg.rf.3d3cdf075f503e316c871f9009334631.jpg,416,416,3,140.7760724852071,0.01685737385163685,1.0,3102.4257486648644,0.030972633136094673,3211.227469557902,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185840_jpg.rf.24330b260b478b873ac7852c157271e0.jpg,416,416,3,120.80838572485207,0.01430171795401575,1.0,3772.020802922962,0.023974898298816567,3900.829979025591,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185845_jpg.rf.d742792b8b969d528681f75d1a5344c4.jpg,416,416,3,114.88510077662721,0.012303434751613473,1.0,4387.8915573215745,0.020658052884615384,4502.853981653901,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_185854_jpg.rf.5248b7d739f9c3a7a68c7b415b396183.jpg,416,416,3,120.11736663276628,0.012997136349031803,1.0,3985.4874212181144,0.02051359097633136,4094.7635997712864,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190048_jpg.rf.2d72c845651ee95bdc432708bbcfff49.jpg,416,416,3,114.83691984097634,0.02210062359611606,1.0,1784.8523342256385,0.04767820821005917,2126.8805204629743,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190058_jpg.rf.684c8ee336d435e480135f59af453bd0.jpg,416,416,3,93.56783931213018,0.026340280856908233,1.0,1925.7778150799486,0.060882026627218935,2225.3817064923583,False,True,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190130_jpg.rf.61de775aeb486c855d388683b31d5cf0.jpg,416,416,3,141.0354856231509,0.030986324737290495,1.0,2026.515053409233,0.06908168454142012,2425.2676477705822,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190132_jpg.rf.0038e80341fa342dc0a63734cc104165.jpg,416,416,3,142.6799822022929,0.03322574767621678,1.0,2322.1545170022723,0.08017058062130178,2684.8843323948367,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190134_jpg.rf.33fb71ab227eabd8ca2f6524df67edfb.jpg,416,416,3,148.0824704142012,0.028419248920148698,1.0,2062.600273797201,0.06146565273668639,2416.81189370497,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190136_jpg.rf.0d868b3e8fe593cd68f4c402f6a935fb.jpg,416,416,3,147.8617846246302,0.023598129627123307,1.0,1627.7449902137835,0.05334689349112426,1984.1555275951098,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190139_jpg.rf.1601ea90dbad8a1006ff7a3da8ce7146.jpg,416,416,3,143.28498289571007,0.027417338153656275,1.0,2205.8268838615786,0.06289293639053255,2561.2206387558467,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190141_jpg.rf.dceafa203c861db3b318702dd3870c8a.jpg,416,416,3,151.90901789016272,0.029489537578306878,1.0,1915.6965634631601,0.06639469304733728,2266.4522677747086,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190147_jpg.rf.ff720eec6ecb6410e8d54ef17e0ba6df.jpg,416,416,3,143.20249514607988,0.02621476167380355,1.0,1553.314042637042,0.05989390717455621,1973.6477274169963,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190157_jpg.rf.205b132f5825495f6f7c1244690e533e.jpg,416,416,3,147.36064048631656,0.038187737707854684,1.0,1793.0858049799397,0.09644854844674557,2279.924795554142,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190205_jpg.rf.df13cae54b3eaa02b44a1cf8d001a7fb.jpg,416,416,3,152.01846801035504,0.04247609053878646,1.0,1759.0327580450196,0.10967548076923077,1994.8709814432302,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190243_jpg.rf.a9732de8174ebd9c62b06d64c68f7b1e.jpg,416,416,3,139.4602903106509,0.04928511745243251,1.0,2709.533822086578,0.14406897189349113,2930.821201244951,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190304_jpg.rf.4abe1c54bea6a47f55886aa321f4891a.jpg,416,416,3,167.4449253420858,0.04677115410421025,1.0,1187.2264416341266,0.15436043823964496,1241.2210129298958,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190314_jpg.rf.a9f2cdc0083310705d55826ba576dbb7.jpg,416,416,3,158.5029528014053,0.04085894037357594,1.0,2251.0836173904313,0.12071814903846154,2349.607395956575,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190323_jpg.rf.4f573268531a6f1e48cef3ddbbe96ced.jpg,416,416,3,168.8663611778846,0.036232894927685534,1.0,1085.499516543552,0.11278430103550297,1202.3163485756265,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190327_jpg.rf.c2cc72240521f352ac9889ef24b8767f.jpg,416,416,3,169.16193024223372,0.0360187227965932,1.0,1096.3128422523455,0.11140902366863906,1220.6428358389044,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190404_jpg.rf.3b369c2d44e7e2dbf58236e1723f0b25.jpg,416,416,3,120.34751756656804,0.013237751221450477,1.0,1933.2759354980276,0.01678069526627219,2534.9504650851627,True,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190411_jpg.rf.0417d08af710f4831680003851be763c.jpg,416,416,3,110.77000508505917,0.021089409711804587,1.0,2371.7571984929473,0.041032960428994084,3124.0034674804224,True,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190625_jpg.rf.02f4cabaf047d0499ed238f0e31c9b58.jpg,416,416,3,151.9827916974852,0.036687248193533764,1.0,1861.693768223437,0.09626941568047337,2088.7441227267614,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190633_jpg.rf.34e19bdbb21575ec3ba7dd8666245ce9.jpg,416,416,3,151.49737079326923,0.03683652385662916,1.0,1852.9342571405261,0.09630408653846154,2101.265337437518,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190638_jpg.rf.4286e9d2e54a51b4f630804c12c59c0e.jpg,416,416,3,148.68631541235206,0.036549689327137126,1.0,1813.4106915227414,0.0942527274408284,2048.65435821688,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190639_jpg.rf.2cfd96079a3f98d0b7a95befa00d9abb.jpg,416,416,3,147.4669991216716,0.03727750418808183,1.0,1861.9555376986866,0.09799140162721894,2110.2252155221045,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190641_jpg.rf.3dd15ec5a3786a927767a949392d7bef.jpg,416,416,3,156.49501895340237,0.03531284616265542,1.0,1522.2426711950923,0.08868227625739646,1752.3261041423086,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190650_jpg.rf.b5394d7ba152f11a092321b0bf46311a.jpg,416,416,3,162.76962948409763,0.03751721864144932,1.0,1503.5992327260685,0.10609860392011834,1701.328613279268,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190712_jpg.rf.13fabb223c3137c2a73bcc8ce8524ec7.jpg,416,416,3,138.8295985114645,0.03467782928585815,1.0,1834.0453727724234,0.0967837000739645,2073.827068948462,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190716_jpg.rf.a5cde0d875b92d7fa16391a79f9e803e.jpg,416,416,3,143.49531365569527,0.03330995726872331,1.0,1660.8331534264912,0.0888382951183432,1904.2605756649427,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190721_jpg.rf.9eb1e23ec9700be07a879415fd2bc900.jpg,416,416,3,145.6614275147929,0.03451100360280808,1.0,1684.8734187832079,0.09207424186390532,1932.155641201544,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190728_jpg.rf.3e985d64a08ba26c1a83b2196f533fa2.jpg,416,416,3,162.4308085244083,0.03139653177872598,1.0,1216.1555883718056,0.07705020340236686,1450.1107923190466,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190908_jpg.rf.cf834a53e4ed68a5d5970d81e19f43cc.jpg,416,416,3,145.54261048446745,0.03871472900133609,1.0,2935.0792563695427,0.11494545118343195,3010.6532800814875,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190912_jpg.rf.d0f7aa0ed31b4eee1628a5ea4b01b65e.jpg,416,416,3,142.87308154585799,0.04172316207525695,1.0,2444.2499327562937,0.12636949889053253,2535.2956884932432,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_190923_jpg.rf.a066019dc1a669a7e482fb799435fa48.jpg,416,416,3,152.97337855954143,0.03633585927246012,1.0,1646.6094695071176,0.10435350406804733,1898.1447959103527,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191111_jpg.rf.c46834818d2d8fcab40e87905350bb65.jpg,416,416,3,149.61023021449705,0.025762350469947643,1.0,2259.4426269440423,0.034514839127218935,2351.76612928458,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191131_jpg.rf.d1b146c8cfe5653364017a7029f77aa4.jpg,416,416,3,159.43291766826923,0.023706493204868388,1.0,2184.754317915652,0.04106763128698225,2397.5822782047985,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191151_jpg.rf.452d5c7d9d5ba278bd0ffa0d4249f635.jpg,416,416,3,156.50413738905326,0.02535109568861609,1.0,2061.6795201416267,0.04581176035502959,2249.1132613462705,False,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191247_jpg.rf.fe593aa0d1da0d1f6587f7d9f8fcb431.jpg,416,416,3,134.4484444341716,0.03354484563660486,1.0,2477.857410440791,0.08652112610946745,2564.6248406917557,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191301_jpg.rf.3aa6e3c22ae5bc92bcc1dc41b2f0cc32.jpg,416,416,3,134.41798030695267,0.030621234690418393,1.0,2131.643224230751,0.08073109282544379,2182.4696310467066,False,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191331_jpg.rf.377c0cd5dac1593aaa1f56e57452c32b.jpg,416,416,3,126.46391341531066,0.05027965351393265,1.0,3550.6468001067783,0.14744938054733728,3902.628776792477,False,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191421_jpg.rf.7e0409b8e216fc62e6271bd5a59265a2.jpg,416,416,3,81.13965999445266,0.022719170507714624,1.0,5028.965222573005,0.051607572115384616,4768.2909219688145,False,True,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191544_jpg.rf.01c41cf935c933ab2c00225ee7845f3d.jpg,416,416,3,133.88952708949705,0.013132572406401692,1.0,3882.930346124359,0.022564950073964498,3897.6208293030686,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191616_jpg.rf.3e3540bb009f0c89369a815bd43dbcb1.jpg,416,416,3,162.8628940920858,0.022673011022917522,1.0,2550.3699142943497,0.05698733357988166,2612.444594615645,False,False,True,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191621_jpg.rf.76e186a9ab060b1cbf74126bb777bbe4.jpg,416,416,3,172.02376109467457,0.01807172618416694,1.0,1970.3641959503204,0.042991863905325445,2045.2604671085971,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191651_jpg.rf.d456132c18e1a769f40eab6a04305be0.jpg,416,416,3,175.96319688424558,0.00397346857276464,1.0,605.2789074112181,0.00555311575443787,621.4765761887353,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191655_jpg.rf.097c04385441d3dc00144d88e39f2fc2.jpg,416,416,3,171.6937985392012,0.005102254509131781,1.0,1067.7806050330082,0.009291789940828403,1082.5943526221438,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191658_jpg.rf.05644182596445be5312da3ee3bf8e8c.jpg,416,416,3,177.82953494822485,0.005118459480822725,1.0,839.180457660946,0.010424371301775148,854.5962561973115,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191709_jpg.rf.eb11fe08488a53df67af5421ae3aaa2c.jpg,416,416,3,169.86655186760356,0.004705498216841663,1.0,1745.782094517557,0.009060650887573964,1817.1772696539708,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191716_jpg.rf.8faff8fbcade84da66854072a6b30c87.jpg,416,416,3,174.28557230029585,0.003347480634130753,1.0,1021.8992754768365,0.0033515162721893493,1050.860501615521,True,False,True,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_191947_jpg.rf.616632163f9db906dda30f96fad80451.jpg,416,416,3,121.66035271819527,0.020012424391451813,1.0,4779.055023877069,0.03786057692307692,4771.588338046248,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_192112_jpg.rf.0f5626b564a00cf36ab2f67ee35c044e.jpg,416,416,3,154.05428878513314,0.036007353684723714,1.0,2617.066400222261,0.09117857803254438,2628.959376047397,False,False,True,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_192210_jpg.rf.64b3e439f18b2304fda79abef4d11fa9.jpg,416,416,3,130.63694411057693,0.019490031396779135,1.0,1985.523833681141,0.025355954142011833,2028.2508635308066,True,False,False,True
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_192225_jpg.rf.86ce4d8f7366ed3b104efdb8dd90ca06.jpg,416,416,3,138.77547730214496,0.014278346548855644,1.0,3635.120499552601,0.012805103550295857,3676.6645011710084,True,False,False,False
ALIF,notebooks\..\data\structured\train_structured\ALIF\IMG_20210609_192236_jpg.rf.8b3832da29e8f7a5c5efbb1c25793c73.jpg,416,416,3,144.2918477255917,0.012261164364191862,1.0,2634.3238254598014,0.005888267381656805,2654.7841971907196,True,False,False,False
